date,forecast,lower_bound,upper_bound,model
2020-12-01,-2919.784507263723,-18084.81732022695,12473.1370522902,Prophet
2021-01-01,199.07709535011736,-14659.19202670107,15946.131844528458,Prophet
2021-02-01,12615.011287057929,-2545.947344794782,27898.175848455947,Prophet
2021-03-01,14483.671962514814,-1622.5145744887118,29177.934518938742,Prophet
2021-04-01,19377.89443109037,3520.1823545177267,36320.857115995066,Prophet
2021-05-01,25982.719793654327,10903.650053573358,41651.55416503166,Prophet
2021-06-01,29888.31778910985,15046.169889560617,46525.74103892771,Prophet
2021-07-01,36732.84334716542,22623.01845137064,52502.9657452222,Prophet
2021-08-01,43211.539900248594,27336.10093751215,58647.93221291501,Prophet
2021-09-01,50496.09430665171,33664.08553522028,66031.28369405784,Prophet
2021-10-01,60438.83966428263,45947.60768066646,76509.29507338973,Prophet
2021-11-01,77677.54878841585,60609.489143797655,93363.96592225975,Prophet
2021-12-01,90540.59171293977,74905.08985450739,107059.6355134393,Prophet
2022-01-01,26939.060642548025,12029.002475296384,43316.694728678536,Prophet
2022-02-01,94924.55561116918,79496.46019989578,110188.50913842514,Prophet
2022-03-01,86907.54450148306,71135.27607541732,102489.63255636023,Prophet
2022-04-01,92923.68834686313,77648.0654594718,108886.56169918297,Prophet
2022-05-01,104190.7614621562,88727.57358100952,119835.18528880761,Prophet
2022-06-01,105209.27502184828,89527.90372616697,122015.73142700648,Prophet
2022-07-01,114045.0515127888,99359.74369425594,129434.40568371859,Prophet
2022-08-01,127222.75987646141,111215.67692720529,142289.60023867997,Prophet
2022-09-01,139228.2877841719,123242.53731282645,155757.68135134398,Prophet
2022-10-01,153178.4494532213,137399.14418568028,169483.58601774086,Prophet
2022-11-01,183917.21446941415,168923.2224022947,199888.86154845095,Prophet
2022-12-01,194987.7716259825,179871.49462546388,210482.1587974217,Prophet
2023-01-01,110895.63684489475,94705.01590491232,126329.43759721942,Prophet
2023-02-01,172438.87518553645,155104.173117551,187298.58715282154,Prophet
2023-03-01,180038.98378353688,164466.16407802748,195603.19725493575,Prophet
2023-04-01,191809.08109764894,176309.92374662575,207198.97025819222,Prophet
2023-05-01,207739.179632288,191967.7173675133,223387.33063165186,Prophet
2023-06-01,205122.1949225128,190772.5495855471,221291.36987633668,Prophet
2023-07-01,212361.02957946938,196791.22751042477,227727.50500520368,Prophet
2023-08-01,239629.21912630374,224561.71253557983,255025.75151724555,Prophet
2023-09-01,258376.55007630822,242818.77967329806,274090.78227085853,Prophet
2023-10-01,272184.947746953,256368.84361019518,287531.7371265889,Prophet
2023-11-01,326987.14292621583,311352.7360516289,341833.14522841846,Prophet
2023-12-01,331998.9703597702,316205.75033953035,346245.8925313263,Prophet
2024-01-01,304289.8829418795,287794.07905265124,319221.7997866849,Prophet
2024-02-01,269752.8108258835,254812.3553486787,285343.7366950561,Prophet
2024-03-01,357383.83236287977,341850.799836525,372260.6097081177,Prophet
2024-04-01,356752.1747791129,341108.03060005826,371500.4289531617,Prophet
2024-05-01,402654.4405361686,386488.40548754256,418783.37919233646,Prophet
2024-06-01,401600.26293062815,387017.2783428876,417606.7791725258,Prophet
2024-07-01,454879.5644475915,439347.9884338847,470122.4875536222,Prophet
2024-08-01,474373.56607846165,459708.20758322504,490312.2808750943,Prophet
2024-09-01,512187.39988671185,496476.2883808646,528333.6857502017,Prophet
2024-10-01,592778.2593251581,576174.7343729306,609732.9910152538,Prophet
2024-11-01,734556.0371445796,719689.9637316687,749249.800859399,Prophet
2024-12-01,833417.091622246,816950.3824422213,850060.3341370262,Prophet
2025-01-01,31953.175423148125,15815.095036675308,47135.41239868923,Prophet
2025-02-01,829681.3113152753,815057.7361642558,845317.235221747,Prophet
2025-03-01,637225.0876986436,622717.7469275773,652821.0407707522,Prophet
2025-04-01,635664.8099676073,620287.3234879415,651683.9365516682,Prophet
2025-05-01,693400.2958271108,677217.4303157536,709019.2755596682,Prophet
2025-06-01,676054.4047832093,659856.166764652,692589.9171268545,Prophet
2025-07-01,730129.9999663688,713180.2694442545,747548.5078060514,Prophet
2025-08-01,768623.6864933817,750491.2470627786,788304.7819579594,Prophet
2025-09-01,817543.7261419229,795930.654644012,838254.4605601972,Prophet
2025-10-01,904539.9093010956,882436.0699864901,925035.4337814723,Prophet
2025-11-01,1082779.9027271946,1055545.0709421812,1107829.4754116745,Prophet
2025-12-01,1160117.8304155546,1129457.6674346142,1187870.1130996512,Prophet
2026-01-01,319909.01572507847,300589.9329930903,336880.80818256515,Prophet
